base,extra,test,majority,num_classes,majority_all
0.806,0.864,0.86,0.27,4,0.25
0.618,0.816,0.854,0.266,4,0.25
0.68,0.848,0.866,0.262,4,0.25
0.666,0.872,0.844,0.264,4,0.25
0.57,0.838,0.81,0.26,4,0.25
0.632,0.828,0.842,0.302,4,0.25
0.684,0.858,0.866,0.258,4,0.25
0.672,0.788,0.824,0.258,4,0.25
0.612,0.858,0.87,0.294,4,0.25
0.582,0.87,0.848,0.278,4,0.25
0.654,0.87,0.882,0.286,4,0.25
0.626,0.846,0.852,0.262,4,0.25
0.718,0.822,0.854,0.27,4,0.25
0.67,0.842,0.842,0.272,4,0.25
0.586,0.816,0.802,0.28,4,0.25
0.578,0.84,0.838,0.266,4,0.25
0.572,0.846,0.854,0.256,4,0.25
0.636,0.856,0.864,0.272,4,0.25
0.7,0.834,0.852,0.254,4,0.25
0.49,0.894,0.882,0.294,4,0.25
